"Txn Ref","Account","Prod Code","Amount","Txn Date","Status"
"TX0001","AC-000123 ","wid-01","1250.5","01/03/2026","posted"
"TX0002","ac-000456","WID-02","  99.99","02/03/2026","posted"
"TX0003","AC/000789","wid-03","3,400.00","03/03/2026","PENDING"
"TX0004","AC-001011","WID-01","12.5","05/03/2026","posted"
"TX0005","AC-000123","WID-04","780","07/03/2026","posted"
"TX0006","AC-000456 ","wid-02","45.25","11/03/2026","posted"
"TX0007","AC-001213","WID-03","1,199.99","12/03/2026","pending"
"TX0008","AC-000789","WID-05","620.10","15/03/2026","Posted"
"TX0009","AC-001415","WID-01","88","18/03/2026","posted"
"TX0010","AC-000123","WID-02","310.75","21/03/2026","POSTED"
"TX0011","AC-9999999","WID-01","5000","22/03/2026","posted"
"TX0012","","WID-03","17.6","28/03/2026","void"
